你和山田君处的怎么样了？|山田君とどうしたの？
闭眼，数秒。|目を閉じ、数秒。
我们感受着对方。|お互いを感じ合った。
唔……啊|ん……はぁ
突然吻上来，很危险哦|いきなりキスしたら、危ないよ
也没有那么突然吧？|いきなりってほど、いきなりでもなかったでしょ？
虽然也是，怎么突然这样|そうだけど、何でまたいきなり
太想这么做而已啦|勢い余ってよ
凛香这样说着，松开我。|凛香はそう言って、俺から離れた。
羞答答的，像是在跟我说送到这里就够了一样，她挥手道别。|恥ずかしそうにはにかんで、ここまで送ってもらえば十分だから、と手を振る。
明天再见。写故事要加油哦|また明日ね。お話つくるの、がんばって
嗯，明天见|うん、また明日
轻轻挥手道别。|手を小さく振って別れる。
感觉胸口轻飘飘的，还越来越热了起来。|胸のあたりがふわふわするようで熱くなってる。
吹吹晚风冷静一下吧。|夜風に当たって冷やしていこう。
我呆呆地仰望夜空。|俺は、ぼんやりと夜空を見上げた。
连星辰的光辉都无法永恒。|星の光だって永遠じゃない。
生活在这样流动的时光里，没有两个瞬间会是一样的。|こうして生きている時の流れに、一瞬として同じ時間は存在しない。
现在存在的一切，过了现在就会成为回忆。|今ここにある何かも、今を過ぎれば思い出に流されていく。
但是回忆却可以无数次复苏。|けれど、想いは何度でもよみがえる。
无关现在、过去还是未来，只要人们想要生存，它就鲜明不可更改。|現在、過去、未来に関係なく、人が生きて望む限りその鮮やかさは変わらない。
当然，也不能一味沉浸于回忆，平时就让它沉睡在心底。|もちろん、思い出に浸ってばかりいるわけにもいかないから、普段は奥底に眠らせているものだけど。
所以，睡美人必须有人唤醒|だから、誰かが目覚めさせてあげないとダメなんだ
怀抱着含糊暧昧的想法，想起被亲吻的嘴唇。|漠然とした考えを抱きながら、キスされた唇を気にしてしまう。
脸又呆呆地红了。|まだ、ぼんやりと熱を帯びていた。
D4_09|D4_09
回过神来已是清晨——|気づけば朝――。
我记得回来后检查过社团杂志的原稿。|帰ったあと、部誌用の原稿チェックをしたのは覚えている。
为了让奈津子学姐满意，就需要逼出自己的极限。|奈津子先輩を納得させるために自分を追い込む必要もあった。
但我似乎不知不觉中被被窝吸了过去。|それなのに、知らないうちに布団に吸い込まれていたらしい。
窗帘被拉开，炫目的晨光染出了一个走过来的人影。|カーテンが開かれ、眩しさの中に動く人のシルエットが見えた。
迷迷糊糊的脑袋听到了银铃般的声音。|ぼんやりとした頭に、鈴のような声が降ってくる。
早上了哦～。起床吧？|朝よ～。起きてちょうだい？
诶……啊啊，凛香。早上……好？|ん……ああ、凛香。おはよ……う？
来，把睡衣脱掉，睡懒觉的小毛孩？菜子早去学校了|はい、パジャマ脱いで、お寝坊さん？菜子ちゃん、もうとっくに学校行っちゃったわよ
啊，嗯……|ああ、うん……
被脱下睡衣，不如说被扒下。|パジャマを脱がされる、というか剥ぎ取られる。
直到半裸，才注意到不对劲。|半裸になって、初めて異変に気づいた。
凛香？为什么是凛香？|凛香っ？なんで凛香？
为什么……我有好好征得菜子的同意，才上来的哦|なんでって……ちゃんと菜子ちゃんの了解を得たうえで、上がらせてもらったのだけど？
啊—原来如此……才不是！与其问你为什么在我房间……|あー、なるほど……って、そういうことじゃなくて！なんで部屋にいるのかっていうか……
凛香在我面前跪坐下来。整理床铺。|凛香は俺の前に膝をつく。ベッドが軋む。
我来接你嘛。想着一起去学校|迎えにきてあげたの。一緒に学校に行こうと思ったから
谢谢你叫我起床……然而我不记得有这样的约定……|起こしてくれるのは助かるけど……そんな約束した覚えがないような……
还是惊喜比较能叫醒人吧？而且我很喜欢洸太郎的睡脸|サプライズの方が目が覚めるでしょう？それに私、洸太郎の寝顔が好きだから
凛香熟练地折好睡衣，从衣橱里拿出衬衫和校服丢给我。|凛香は手際よくパジャマをたたみ終えると、クローゼットからシャツと制服を出して押し付けてきた。
那我在楼下等你。啊，还有——小说写得不错|それじゃ、下で待ってるからね。あ、それから――小説、良い感じだと思うわ
听见这话，我向桌上看去。|言われて、机の上を見る。
摊成一片的原稿被收齐了。|雑にしてあった原稿がきれいに揃えられていた。
凛香摆摆手，出了房间。|凛香は手をひらひらさせながら、部屋から出て行った。
能这样和凛香一起上学，感觉很新鲜。|こうして凛香と一緒に登校するのは新鮮だ。
虽然有点难为情，但也很开心。|どこか、くすぐったい気がするけど、嬉しい。
所谓理想——|理想としては――
就是我按响玄关的门铃吧。清新的早晨。小鸟在屋檐下鸣唱。洸太郎带着爽朗的笑容走出家门|私が玄関のチャイムを鳴らすでしょ。清々しい朝よ。小鳥が屋根の上で鳴いてる。爽やかな笑顔で洸太郎が家から出てくる
嗯|うん
『早安。一直以来很是感谢。明天我去接你吧』|『おはよう。いつもありがとう。明日は俺が迎えに行くよ』
『没事，我喜欢才这样做。快走吧？』这样说着，一起上学|『いいのよ、私が好きでやってるんだから。さあ行きましょうか？』、で一緒に登校する
太过理想了。现实中不会有那么好的事的。|あくまで理想だ。現実にはそう簡単に起こることじゃない。
——很简单吧？|――簡単よね？
如果我会这么爽朗，八成是被外星人控制了吧，应该赶快逃才对。|もしそんな爽やかな俺が出てきたら、宇宙生物に乗っ取られてる可能性が高いからすぐ逃げるべきだ。
一般而言只要有人的气息就会醒了吧？|普通、人の気配がしたら目が覚めない？
我不是凛香一样的高人，所以感觉不到气息|俺、凛香みたいな達人じゃないから気配なんて分からないな
谁是高人呀。噗咕——|誰が達人よ。ぷくー
无意悔改的我，噘起嘴的凛香。|悔い改める気配のない俺。唇を尖らせる凛香。
可是……能在毕业前，有一次这样的经历的话，我会很高兴的，记住咯？|でも……私が卒業するまでに、一度はそういうことができると嬉しいから、覚えておいてくれる？
啊，嗯。我尽力。……只是一次的话，勉强可以。大概，能行的|あ、うん。がんばる。……一度くらいなら、がんばれそう。たぶん、がんばるはず
提到才想起，毕业吗……|話していて気づいたけど、卒業か……。
完全忘记了凛香比我早一年毕业。|凛香の方が早いんだってこと、すっかり忘れていた。
唔……|うん……。
啊，你看。猫|あっ、見て。猫
凛香叫住了我。|凛香は俺を呼び止めた。
手指指向的，是常年待在同一围墙上的，不知何处的家猫。|指の先には、いつも同じ塀の上にいる、どこかの飼い猫。
是我见惯不怪的风景。|俺には見慣れた光景だ。
对于凛香应该也不是那么罕见，可是我很快明白了她叫住我的原因。|凛香にもそれほど珍しくないはずだとは思うけど、立ち止まった理由はすぐに判明した。
别动，小猫……|じっとしててね、猫ちゃん……
从口袋里拿出粉红色的数码相机。|ポケットからマゼンタピンクのデジカメを取り出す。
可是，猫察觉到自己被凛香盯上，一下子向围墙的另一边逃走了。|しかし、狙われていることに気づいた猫は、さっと塀の向こう側へ逃げてしまった。
啊啊，差一点点～|あぁっ、あと少しだったのに～
看看数码相机，只照到了飞跃瞬间的一团毛球。|デジカメを覗くと、飛び上がった瞬間の毛玉だけが写っていた。
你会画插图吗？|イラスト、得意だったりする？
唔……我不怎么画画的，应该不太会吧|んー……俺、絵とか描かないから、あんまり
这和照相有什么关系吗？|写真を撮ることと何か関係があるの？
你不觉得绘画和拍照的美术细胞很像吗？|絵のセンスと写真のセンスって似てるじゃない？
我抬起头，凛香突然抬过镜头指向我。|俺が顔を上げると、凛香は前触れもなくこちらにレンズを向けていた。
我打算办『摄影展』|『写真展』をやろうと思ってるの
刚才照了我？|今、俺のこと撮らなかった？
除了手机里的，都没有你的照片，感觉好寂寞哦|携帯にしか写真がないのって、なんだか寂しいわ
是吗？|そういうものかな？
不过我也没有凛香的照片。|かくいう俺も凛香の写真を持ってない。
如果找个像样的地方约会，或许会有照相的机会。|それっぽい場所でデートでもすれば、撮る機会もあるのかもしれないけど。
照也可以，可是我的表情有没有很奇怪？|撮るのはいいけど、変な顔してなかった？
没关系啦。你看|大丈夫よ。ほら
把照相机递给我，让我确认照片。|カメラを渡され、写真を確認する。
挪过一张，是刚才照漏的猫的照片。再挪过一张，是我的脸……嗯？|横に一枚ずらすと、さっきの猫のミス写真。もう一枚ずらすと、俺の顔……ん？
啊，睡脸。什么时候……|あっ、寝顔。いつの間に……
呵呵，我很满足哟。睡得很香嘛|ふふっ、ごちそうさま。よく寝てたわよ？
太羞耻了，快删掉|恥ずかしいから、消して
别这么女孩子气啦，谁都不给看的。我会把它当做自己的宝物。好吗？|女の子みたいなこと言わないでよ。誰にも見せないから。私だけの宝物にするから。ね？
既然你这么说……|それなら、いいけど……
万事可商量。这样的说法我就认同了。|ものは言いようだ。そういう言い方をされると許せてしまう。
嘛，被偷拍也没醒的我，也有点问题就是了。|まあ、写真撮られてるのに起きない俺も、どうかと思うけどなぁ。
可是，为什么现在想要开摄影展呢？|でも、どうして今頃、写真展に出そうと思ったの？
不是开，是办。我是主办方|出すんじゃなくて、やるの。主催するの
抱歉，可是我没听懂|ごめん、話が飲み込めないんだけど
我在考虑新活动啦。你想，昨天|新しいイベントを考えたのよ。昨日ね
啊啊，好像昨天是说了什么|ああ、何か言ってたよね、たしか
虽然我只记得离别之吻。|別れ際にキスしたことしか覚えていないぞ。
凛香眼珠也打了打转，她也想起来了吗。|凛香も少し目を泳がせている。思い出しているのか。
是，就是嘛。是认真的哦。我仔细考虑过如何让旧校舍留在大家心上|そ、それでね。まじめな話よ？旧校舎のことを、たくさんの人の記憶に残すにはどうすればいいのか、ちゃんと考えたの
除了记录在资料上留存下来，我还想过有没有更好的方法|資料として記録することはできるけれど、もっといい方法はないかって
然后我想反其道而行之，搜集大家的回忆|それで私、逆にみんなの思い出を集めようと思っているのよ
所以才，照相……|だから、写真……
凛香点点头。|凛香はうなずいた。
比起传承未来，聚集当下生活的大家的念想，大概，对旧校舍来说，才更是幸事一件|未来に伝えるよりも、今を生きているみんなが想いを共にすることの方が、たぶん旧校舎にとっては幸せなことよ
所以，我想开展一个大家乐在其中的活动，向它告别|だから、みんなが楽しいと思えるイベントを開いて、お別れした方がいいと思って
很有趣|面白いと思う
不是执着不松劲，也不是永不相忘。|繋ぎとめるのでもなく、忘れないのでもない。
而是让行将消失的旧校舍有最后的一刻，能回到它所闪耀的那个时代。|それはあの消えゆく旧校舎がただひと時、輝かしい時代を取り戻すことだ。
但这还不是最终定案|でも、まだ決定じゃないのよね
是吗？为什么？|そうなの？どうして？
凛香把手指抵在下巴上，有些烦恼的念道。|凛香はあごに指を添えて、悩ましげな声で唸った。
熊猫还不够|パンダが足りないのよ
……熊猫？|……パンダ？
似乎说了什么可爱的话。|なんかカワイイこと言い出したぞ。
嗯。单是摄影展还差了点火候，不能让人一下子『乐在其中』|ええ。写真展だけだといまいち『楽しさ』にピンとこないのよね
熊猫不够……是冲击力不够吗？|パンダが足りない……パンチが弱いじゃなくて？
不是一个意思吗？|意味は同じよね？
嘛，我知道你是什么意思了……熊猫就是说不够足吧，因为它是濒危保护动物啊|まあ、言わんとすることは分かるんだけど……パンダって足りることないよね。絶滅危惧種だし
所以奈津子才说你特别细心呢|あなた、そんなだから奈津子に細かいって言われるのよ？
被说了那种话……？|そんなこと言われてたっけ……？
听好了，寻找『熊猫』吧。以SOK会会长的名义命令你。一切都靠你了|いいこと？『パンダ』探しよ。ＳＯＫ会会長として命じるわ。すべてはキミにかかっている
请会长大人也认真寻找|会長殿もちゃんと探してくださいね
你瞧，我可是电椅会长|私は、ほら、電気椅子会長だから
腐败官员……|悪の幹部……
说的话都让人捉不到头脑。|なんだかんだうやむやだ。
算了，听起来是个认真筹备的活动，凛香也有凛香的准备吧。|まあ、しっかりしたイベントっぽいから、凛香には凛香なりに準備があるのだろう。
活动室见|また部室でね
凛香挥手的背影。|手を振る凛香の後ろ姿。
嗯，再见……|うん、また……
感觉到那背影有些许的违和感。|その後ろ姿に少しだけ違和感を覚える。
可是，那时并不知道这违和感源自何处。|けれど、違和感の正体はそのときは分からなかった。
午休时和凉介商量了一下。|昼休みに涼介に相談してみることにした。
虽然电影和照片不同，要说怎么给观众展示，他可是我的一日之师呢。|映画と写真は違うけど、見せることに関しては、俺よりも一日の長がある。
摄影展啊。像是文化祭的作品展那样子？|写真展かぁ。文化祭の作品展示みたいな感じで？
大概。毕竟是在校内展出|たぶんそうじゃないか。校内でやるんだから
唔，这样啊……|んー、そっか……
呀呀？凉介在烦恼。真稀奇|やや？涼介が悩んでる。珍しい
志乃的脸突然出现。|志乃が顔を突っ込ませてきた。
真失礼。我可是烦恼很多的。烦恼得周末去经常去看戈达尔的电影|失礼な。俺は悩み多き人間だぞ。週末はいつもゴダールの映画を見に行くくらい悩んでる
戈达尔是啥？|ゴダールって何？
诶？我想想……是奶酪的一种对吧，洸太郎|え？えっと……チーズの一種だよな、洸太郎
豪达|ゴーダ
有种各方势力混战的感觉……？|フォースの乱れを感じる……？
尤达|ヨーダ
法国面包那个小小的吗！？|フランスパンの小さいやつ！？
是巴塔面包。现在来说，应该是叫做『Le Batard』的某面包吧|バタールな。今の流れは『ダ』で終わるサムシングが正解だった
今天的洸太郎好正经——噗—噗—|今日の洸太郎、厳しいよー。ぶーぶー
向凉介扮哭的志乃。|涼介に泣きつく真似をする志乃。
话说……都搞不清之前在说什么了。|えっと……何の話をしてたか分からなくなってしまった。
……是在说活动吗。|……イベントの話だっけ。
打算把话题扯回来，铃声却响了。|話を戻そうとしたら、チャイムが鳴ってしまった。
涉及到细节决定时，还要多多请教你哦|また詳しく決まったら、いろいろ頼んでいいかな？
交给我吧。反正我一直都很闲|任せとけよ。俺はいつもヒマだからな
也要告诉我哦——|私にも教えてねー？
真是好友一条心。|良い友だちを持ったと思う。
之后就是『寻找熊猫』了……在这之前今天还有事要做。|あとは『パンダ探し』だけど……今日はまだ、その前にやることがあった。
放学后的文艺部——|放課後の文芸部――。
订书机的声音在放学后的文艺部回响。|ホチキス留めの音が放課後の文芸部に響く。
把印刷好的打印纸堆叠，在书脊处用订书机订好。|印刷したコピー用紙を束ね、ノドにあたる部分をホチキスで留めていく。
这就是制书的过程。|そう、製本作業である。
大家都顺利完成原稿了！|みんなの原稿が無事に完成したのだ！
可是还要很久才能回家，成书之前都算是原稿工作，谁也不能走。|でも帰るまでが遠足なように、本にするまでが原稿作業なので、誰も帰れない。
拿着订书机的姬野突然这样说道。|するとホチキスを手にした姫野さんが脈絡なく言った。
呐呐，彩音。……看见订书机不觉得很激动吗？|ねえねえ彩音ちゃん。……ホチキス見るとわくわくしない？
诶，没有|え、しない
新堂把打印纸堆好头也不回的说。|新堂はコピー用紙の束から目を逸らすことなく返した。
诶～『咕哇』地打开，『呜忸』一下，就变得『嘎戛咕』？像变身机器人一样很厉害吧？|え～、ぐわッて開いて、うにょんってして、ガジャコンってなるんだよ？変形ロボみたいでかっこいいよ？
我知道星奏很可爱|星奏がかわいいのはなんとなく分かる
订书机吗……我大概明白。总想早点换下一根订书钉所以浪费一堆钉子|ホチキスかぁ……それ、分かるかも。早く次の針を入れたくて無駄打ちするよな
是吧是吧。这样会惹老师生气呢～|そうそう。先生に怒られちゃうよね～
聊天是可以啦，不过手也要动起来哦|しゃべってもいいけど手を動かしなさい、手を
是……|はい……
新堂在认真地订书。|新堂はまじめにホチホチと留めていく。
手最麻利，而且还很用心。|一番作業が早いし、丁寧だ。
虽然觉得有些意外，该说不愧是以设计系为目标的人啊。|意外に思えるけど、さすがデザイン系に進もうとしているだけのことはあるよな。
如果会长在就帮大忙了。为什么偏偏现在不在呢？把她叫来嘛，国见君|会長さんがいれば助かるんだけどぉ。こういうときに限ってどうしていないの？呼んできてよ、國見君
我也不知道她现在在哪里。虽然听说她要来……|今どこにいるか分からないんだよ。来るとは聞いてるけど……
咨询角空空如也。|相談ブースは空っぽだ。
现在制作的社刊是所谓的『影印本』。因为作业过程简单，人手越多越快完成。|今作っている部誌はいわゆる『コピー本』だ。作成は難しくないから、手が多ければそれだけ早く終わる。
很久以前，有正经地印过书，不过因为部员和部费不足，现在充其量只能做影印订装本。|ずっと昔は、本格的に糊付けして製本していたけれど、部員も部費も少ないのでコピー本が関の山だった。
……好了，订完了。包书带在哪里？|……はい、ホチキス留め終わり。製本テープ、どこだっけ？
哇，彩音好快！|わ、彩音ちゃん早い！
哼哼。完成得快的话，我就来帮星奏|ふふん。早く終わったら星奏の分は手伝うからね
我拿出崭新的包书带，递给新堂。|俺は新品の製本テープを出して、新堂に渡した。
嗯，谢谢|ん、ありがと
话说回来，我刚开始提到的摄影展|ところで最初に言ってた写真展のことなんだけどさ
稍微等一下。现在我要集中注意力……好了！|ちょっと待って。今、集中してるとこ……よし！
太好了——完成一册！|やったー、一冊完成だね！
包书带，一般不可以重贴所以需要集中注意力。|製本テープは、基本的に貼り直しが利かないから集中力が必要とされる。
呼出一口气，新堂抬起头来。|ふう、と息をついて、新堂は顔を上げた。
我个人觉得开办比较好，可那是主要面向老校友的活动吧？|私としては、やるのは良いと思うけど、それってＯＢ・ＯＧメインのイベントだよね？
没有这回事。和学园祭一样，我们还是活动的主体|そんなことはないよ。学園祭と同じで、俺たちが主体になってやることに違いはないから
如果大家都能参加就好了呢～|みんな来てくれるといいよね～
摄影展，简单易懂。把现在的和以前的照片对比展示|写真展は、分かりやすいと思うんだ。今と昔の写真を比較しながら展示して
去商店街为已经毕业的人们照相怎么样？|商店街で卒業した人たちの写真撮ってくるのは？
那也不错。可以拜托凉介放映幻灯片|それもしたいな。涼介たちに頼んでスライドショーを上映してもらったりして
像以前的电影一样，在旧校舍的墙壁上放映，是不是很浪漫呢？对吧？|昔の映画みたいに、旧校舎の壁に映すと、ロマンチックじゃないかな？かな？
哦，好主意接二连三地冒了出来。|お、なんかいい感じにアイデアが出てきてる。
可是，果然瓶颈在于熊猫|でも、やっぱりネックはパンダなんだ
熊猫？|パンダ？
各方势力混战的感觉……舒克|フォースに乱れを感じる……シュコー
不是尤达啦……我说|ヨーダじゃない……だとッ
之后耗费一个小时左右，制作了50册影印本。|それから一時間ほどかけて、５０冊ほどのコピー本を製本した。
大功告成|完成です
呋呋～！|「ふっふーい！
星奏＆彩音|星奏＆彩音
『呋呋』，什么鬼？最近的流行语？|ふっふーい、って何？流行ってるの？
可是，大家久违地在一起做事，真的很让人舒心。|でも、久しぶりに息がそろった感覚にホッとする。
看了看钟。|時計を見る。
我在意的是，在那之后凛香也没有来。|気がかりなのは、あれからも凛香が来ていないことだ。
我拿起丢在一边的手机确认。|俺はしばらく忘れていた携帯を確認した。
这时收到了一条信息。|するとメッセージが届いていた。
看来凛香还在图书馆。|どうやら、凛香はまだ図書館にいるらしかった。
坐在咖啡厅里的凛香，向我挥挥手。|カフェテリアで座る凛香が、俺に手を振った。
久等了|待ってたのに
抱歉，有点事要调查|ごめんなさい、調べ物してた
找到了吗？熊猫|見つかった？パンダ
姑且。在图书馆里站着读很累，所以借过来了。一起读吗？|一応ね。立ち読みだと疲れちゃうから、借りてきたわ。一緒に読まない？
桌子上，是汇集了学园历史的两本校史。|テーブルに、学園の歴史をまとめた校史がニ冊。
仔细包装好的厚重书籍，像新品一样漂亮。|箱入りの分厚い本で、新品同様にきれいだった。
因为谁也不会借。|誰も借りないからだろう。
学园史？|学園史？
嗯。很有趣哦。以前建筑的外观啊，文化祭举行的活动啊，了解了很多|うん。けっこう面白いのよ。昔の建物の様子とか、文化祭はこんなことしてたんだ、とかいろいろ分かるわ
以前的学生……原来如此|昔の生徒……なるほどね
如果要招来许多毕业生，举办一个让大多数人倍感怀念的活动才是上策。|卒業生をたくさん呼ぶなら、大多数が懐かしいと思えるイベントの方がフックになるはずだ。
百忙之中也会忍不住参加，想要举办一个这样吸引人的活动|忙しくても思わず足が向いてしまうような、目玉イベントが欲しいのよね
希望能从学园史中找到灵感|学園史から、ヒントが見つかるといいけどね
打开装帧豪华的书，优质纸张的气息迎面扑来。|装丁の豪華な本を開くと、上質な紙の匂いがいっぱいに広がった。
我们都默默地读着。|お互い、もくもくと読み進める。
我说，凛香——|ねえ、凛香――
什么？|なぁに？
如果找到了点子，要不要和我约会？|もし見つけたら、俺とデートしてくれない？
凛香眨了眨眼睛。|凛香は、目を瞬かせた。
然后一副平静的表情，若无其事地继续读书，温柔地说道。|そして静かな面持ちで、何ごともなかったように読書に戻ると、優しい声で言った。
就算没找到也和你约会|見つからなくてもしてあげるわよ
我不是这个意思啊|そういうことじゃないんだ
是吗……那么，就祈祷能够找到吧|そう……だったら、見つかることを祈ってるわ
嗯。我会加油的|うん。がんばるよ
我也继续读书。|俺も本読みに戻る。
图书馆中，时间像往常一样静静流逝。|図書館にはいつもどおり静かな時間が流れていた。
啊——|あっ――
图书馆寻找点子活动结束，正打算回家的时候，突然下雨了。|図書館での探し物を終え、帰宅しようとしたぐらいから、急に雨が降り出した。
很快天空中电闪雷鸣，大雨滂沱。|夜中には何度も雷が落ちるような激しい雨になった。
哥哥，又打雷了～最近经常打雷呢。集中暴雨？地球毁灭？|おにーちゃん、また雷鳴ってるよ～。最近多いよね。ゲリラ豪雨？地球滅亡？
又要在我房间睡吗？|で、また俺の部屋で寝るの？
嗯|うん
菜子做好睡觉的准备，在床上抱着一只很大的熊。|菜子は寝る準備を整えて、ベッドの上で大きなクマを抱えている。
是木雕小熊的布偶娃娃版。我的妹妹还有这么朴实的品味啊。|木彫りのクマをぬいぐるみで再現したものだ。我が妹ながら渋いセンスをしている。
我重新转向书桌。|俺はまだ机に向かっていた。
哥哥在干什么？写小说？|おにーちゃんは何してるの？小説？
不，这是活动企划书。在旧校舍拆毁前，我们打算尽力做些事|いや、これはイベントの企画書。旧校舎が解体される前に、有志でいろいろやろうってことになって
诶——真好。好像很有趣。要做什么呢？|えー、いいな。楽しそう。何するの？
酬勤派对，之类的吧|お疲れパーティ、かな
不是告别派对。|お別れパーティじゃなく。
根据学园史，这还是学生自治会时代的事。|学園史によれば、まだ学生自治会があった頃の話だ。
以前的学生从结业式的傍晚开始，会聚集在旧校舍开办庆功会。|終業式の夕方から、旧校舎に集まって打ち上げ会をしていたらしい。
在学校开得了吗？|そんなの、学校でできるの？
彻夜狂欢是肯定不行的，剩下的只有尽量争取了|さすがに徹夜でどんちゃん騒ぎは無理だろうけど、そのあたりは、なんとかしてもらうしかないね
以凛香的能力，应该能行吧？|凛香の力でなんとか。できるんだろうか？
当下我考虑企划案就忙不过来了。|今のところ、俺は企画の考案で手一杯だ。
获得老师们的允许，组织准备会，这些还是交给凛香比较好。而企划展示的内容……|先生たちの了解を取り付けたり、準備会を作るのは、凛香にまかせた方がいいだろう。それから企画展示の内容を……。
让记载在学园史上的『传统活动』复活一天，我认为这个条件不是不可能的|学園史に載ってる『伝統イベント』で、一日だけ復活させるって条件つきだから、無理じゃないとは思うんだけどな
那就没问题了吧？哈啊～|それなら、大丈夫じゃない？ふぁ～
话还没说完，菜子打了一个大哈欠。|言い終わる前に、菜子は大きなあくびをした。
先睡吧？|寝れば？
嗯，晚安～……|うん、おやすみ～……
慢悠悠钻进被窝的菜子。|もぞもぞと布団に潜り込む菜子。
雨滴还在敲打窗户。|雨はまだ窓を叩いている。
下雨，糟糕……明天……|（雨、参ったな……明日は……）
总之趁神志清醒时尽量做，撑不住了就睡吧。|とにかくキリのいいところまでやって、無理しないうちに寝てしまおう。
姑且是找到了约定的熊猫。|一応、約束のパンダは見つけたんだから。
D4_10|D4_10
不巧的是，天气并没有好转。|あいにく天気は回復していなかった。
我和凛香向『Monetto』走去。|俺と凛香はモネットへ足を運んだ。
啊啦，欢迎光临，二位|あら、いらっしゃい、二人とも
早上好，爱美小姐|おはようございます、愛美さん
好久不见。人好多啊|お久しぶりです。すごく混んでますね
我们平时都只有傍晚才来，而这里早晨也跟别的咖啡厅一样宾客满堂。|いつもは夕方にしか来ない店内は、喫茶店らしく朝のお客で満席だ。
还有10分钟就从早班变成午班了，怎么样？一起吃午饭？|あと１０分でモーニングからランチになるけど、どうする？お昼、食べていく？
啊，不，我们还要出去，不麻烦了|あっ、いえ、これからまた出かけるので、大丈夫です
难道是约会吗？|もしかして、デートぉ？
爱美小姐眼带微笑微笑地看着我们。|愛美さんは微笑ましそうに俺たちを見る。
之前和凛香去过的咖啡馆遇到休息日没开，所以不算是去过。|前に凛香と行った隠れ家カフェは定休日だったから来たとは言えない。
嗯，是的|えへ、そうなんです
只是练习拍照，顺便一起出去走走|写真の練習がてら、ちょっと一緒に出かけるだけですよ
唔……是吗？|む……そうなの？
啊，不，是约会……|あ、いや、デートです……
好了好了，纯洁的孩子|いいわねぇ、初々しくて
说给别人听就难为情了。|誰かに言われると恥ずかしくなってしまう。
这就是所谓的恋爱初学者吗。|いわゆるこれが、恋愛ビギナーというやつなのだろうか。
无法再公众面前做出恋人的举动。|公衆の面前で恋人らしくふるまえない。
虽然天气有些不好，晚上可能会放晴哦，祝你们约会愉快|天気がちょっと残念だけど、夜には上がるみたいだし、きっと楽しいデートになるわよ
突然，爱美小姐从柜台的搁板上拿出了什么东西。|ふと、愛美さんがカウンターの棚から何かを持ってきてくれた。
小洸。要拍照的话，这个给你|こーちゃん。写真撮るなら、これあげるわ
诶，这是……可以吗？|え、これ……いいんですか？
小声告诉你，这是客人送的礼物……我不太擅长摆弄机械啦|ここだけの話、お客さんからのプレゼントだけど……私、機械に弱いから
交给我的是，最新型的单反相机。|手渡されたのは、最新型の一眼レフだ。
外观是银色和黑色，给人古典印象，沉稳的感觉传达到手上。|外見は銀と黒のクラシックな雰囲気でしっとりと手に馴染む。
太、太感谢了。可是我不知道怎样报答……|あ、ありがとうございます。でも、お礼とか、俺……
好啦。回家的时候来光临下就好|いいわよ。また帰りに寄ってくれれば
哈哈……明白了。我会照很多照片的|はは……分かりました。たくさん写真撮ってきますね
接过镜头和其他部件，放入包中。|レンズやオプションの類も受け取り、鞄に入れる。
在店内休息一会儿后，我们在爱美小姐的目送下离开了咖啡馆。|しばらく店内で休憩したあと、愛美さんに見送られて、俺たちは喫茶店を後にした。
搭乘巴士来到水族馆。|バスに揺られ、水族館に着く。
排队买票时，放眼望去全是年轻的情侣。|チケットを買う列に並ぶと、見える景色はすべて若いカップルという有り様だ。
虽然我们也是『同道之人』，不知为何有些紧张。|自分たちも同じ『側』のはずなのに、何故か緊張してしまう。
话说回来今天早上真是吓到我了|それにしても今日の朝は、びっくりしたよね
两个人都提前一个小时来到车站|二人とも一時間前に駅についてるなんてね
付诸行动是最重要的哦|思いやりって大事よね
本想比凛香早到，让她对我刮目相看，哪知凛香也同时来到，让我大吃一惊。|凛香より早く行って見直してもらおうと思ったら、同じように凛香がやって来て驚いた。
去『Monetto』，只是为了打发水族馆开馆之前的时间。|モネットに行ったのも、水族館が開館するまでの時間つぶしのためだし。
我也吓了一跳呢。洸太郎在休息日也能不赖床哦|私も驚いたわ。洸太郎、休みの日はちゃんと早く起きられるじゃない
因为这个？听起来好像是我没救的小学生……|そ、そっち？なんか俺、ダメな小学生みたいじゃないか……
呵呵。居然能自己发觉，了不起|ふふ。自分で気づくなんて、偉い
肯、肯定不是在夸奖我吧？|ほ、褒めてないよ、それ？
按秩序买了票。|順番が来てチケットを買う。
我们进入水族馆中。|俺たちは水族館の中に入った。
呵呵，这是第一次吧？这么正式的约会|ふふ、初めてじゃない？こんなちゃんとデートするのって
我们边走边看，保持着微妙的距离。|微妙な距離を保ちつつ、二人で歩く。
尽管如此，一瞬间不经意碰到手，就会意识到对方的存在。|それでも、ふとした瞬間にどちらともなく手が触れ合ったりすると、相手を意識してしまう。
而且凛香也一样，果然很在意。|それは凛香も一緒で、やっぱり気にしているようだ。
…………要牵手吗？|…………手、つなぐ？
唔，嗯……是啊，难得约会|う、うん……そうね、せっかくだし
很有约会的气氛。|デートしている気分になってきた。
沿着道路，空间光线变得昏暗。|順路を進むにつれて、空間は薄暗くなってくる。
下一层，好像有全息投影活动|次のフロアで、プロジェクションマッピングのイベントやるみたいだよ
真的吗？3D投影，我一直很想看！|ほんと？３Ｄマッピングって、一度見てみたかったの！
我也是第一次看。很期待|俺も初めて見る。楽しみ
靠近这一层，人一下子多了起来。|フロアに近づくと急に人の密度が増してきた。
